date,open,high,low,close,volume,adj_close
2026-01-05,866.9,883.2,864.1,883.2,5204500,883.2
2026-01-06,884.5,897.4,884.5,894.3,3743800,894.3
2026-01-07,890.0,895.8,886.4,894.6,3012600,894.6
2026-01-08,895.0,903.1,891.0,891.0,3178900,891.0
2026-01-09,900.4,905.4,893.7,894.5,3201200,894.5
2026-01-13,905.0,908.6,896.0,907.4,4612300,907.4
2026-01-14,908.1,918.1,907.0,914.1,4020200,914.1
2026-01-15,914.0,924.7,913.3,922.7,3587600,922.7
2026-01-16,920.0,923.6,915.1,918.7,2725900,918.7
2026-01-19,922.3,928.1,916.3,925.3,3255000,925.3
2026-01-20,924.0,926.2,916.6,925.9,2692000,925.9
2026-01-21,915.1,927.5,909.0,910.4,4583000,910.4
2026-01-22,914.6,924.7,913.8,917.4,2933700,917.4
2026-01-23,916.5,923.4,916.0,920.8,3038500,920.8
2026-01-26,915.1,917.5,905.0,911.5,3498300,911.5
2026-01-27,906.0,914.4,904.5,912.0,3793700,912.0
2026-01-28,909.0,913.5,905.1,905.1,3735800,905.1
2026-01-29,902.0,913.5,894.9,912.2,3738600,912.2
2026-01-30,906.0,919.3,906.0,915.2,4655900,915.2
2026-02-02,923.8,927.5,911.2,911.2,3374900,911.2
2026-02-03,919.6,938.7,914.8,937.3,3684100,937.3
2026-02-04,940.5,951.9,935.7,947.6,3962100,947.6
2026-02-05,962.0,968.8,953.3,954.4,5194400,954.4
2026-02-06,955.7,964.0,911.0,913.5,9367200,913.5
2026-02-09,930.7,954.7,921.0,945.6,6376300,945.6
2026-02-10,949.3,962.1,947.4,955.2,3849300,955.2
2026-02-12,961.8,977.0,959.1,973.8,3595500,973.8
2026-02-13,977.7,983.8,962.4,978.0,4679300,978.0
2026-02-16,979.4,980.0,961.6,964.1,3478900,964.1
2026-02-17,963.7,976.2,961.0,974.7,2699300,974.7
2026-02-18,975.0,990.3,974.1,986.7,2521800,986.7
2026-02-19,978.4,978.4,959.1,974.2,4255900,974.2
2026-02-20,973.1,976.5,967.2,971.6,3386500,971.6
2026-02-24,971.7,984.3,965.2,981.5,3645500,981.5
2026-02-25,983.3,987.5,975.5,978.5,3341800,978.5
2026-02-26,988.0,990.7,979.2,979.7,3267100,979.7
2026-02-27,986.9,989.2,976.4,984.5,4987700,984.5
2026-03-02,970.0,987.9,962.0,987.9,3959600,987.9
2026-03-03,966.0,977.5,947.0,948.7,6358800,948.7
