date,open,high,low,close,volume,adj_close,ma5,ma25,ma75,ma200,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,atr14,week52_high,week52_high_confidence
2024-08-21,2982.0,3027.0,2977.0,3018.0,6267200,2843.9,2843.9,2843.9,2843.9,2843.9,50.0,0.0,0.0,0.0,2843.9,2843.9,2843.9,,3027.0,partial
2024-08-22,3019.0,3031.0,3005.0,3027.0,8518700,2852.38,2848.14,2848.14,2848.14,2848.14,50.0,0.68,0.14,0.54,2856.62,2848.14,2839.66,,3031.0,partial
2024-08-23,3025.0,3028.0,2971.0,2971.0,10273700,2799.61,2831.96,2831.96,2831.96,2831.96,50.0,-3.01,-0.49,-2.52,2878.24,2831.96,2785.69,,3031.0,partial
2024-08-26,2951.0,2998.0,2946.5,2972.0,11075100,2800.56,2824.11,2824.11,2824.11,2824.11,50.0,-5.79,-1.55,-4.24,2872.54,2824.11,2775.68,,3031.0,partial
2024-08-27,2979.5,2999.0,2946.0,2998.0,7441800,2825.06,2824.3,2824.3,2824.3,2824.3,50.0,-5.95,-2.43,-3.51,2867.63,2824.3,2780.98,,3031.0,partial
2024-08-28,2985.0,3007.0,2980.0,3000.0,5081300,2826.94,2820.91,2824.74,2824.74,2824.74,50.0,-5.85,-3.12,-2.74,2864.34,2824.74,2785.14,,3031.0,partial
2024-08-29,3005.0,3022.0,2997.0,3003.0,8312400,2829.77,2816.39,2825.46,2825.46,2825.46,50.0,-5.48,-3.59,-1.9,2862.29,2825.46,2788.63,,3031.0,partial
2024-08-30,3010.0,3045.0,2994.5,3013.0,9514300,2839.19,2824.3,2827.18,2827.18,2827.18,50.0,-4.38,-3.75,-0.64,2862.81,2827.18,2791.55,,3045.0,partial
2024-09-02,3030.0,3043.0,2995.0,3021.0,6890200,2846.73,2833.54,2829.35,2829.35,2829.35,50.0,-2.87,-3.57,0.7,2865.12,2829.35,2793.58,,3045.0,partial
2024-09-03,3030.0,3056.0,3015.0,3034.0,7500500,2858.98,2840.32,2832.31,2832.31,2832.31,50.0,-0.67,-2.99,2.32,2870.62,2832.31,2794.0,,3056.0,partial
2024-09-04,2900.0,2928.0,2874.0,2882.5,16982500,2716.22,2818.18,2821.76,2821.76,2821.76,50.0,-10.33,-4.46,-5.87,2897.85,2821.76,2745.67,,3056.0,partial
2024-09-05,2832.5,2951.0,2827.0,2914.5,10261200,2746.37,2801.5,2815.48,2815.48,2815.48,50.0,-15.38,-6.64,-8.73,2899.4,2815.48,2731.55,,3056.0,partial
2024-09-06,2885.5,2908.5,2860.5,2879.0,11008300,2712.92,2776.24,2807.59,2807.59,2807.59,50.0,-21.82,-9.68,-12.14,2905.0,2807.59,2710.18,,3056.0,partial
2024-09-09,2800.0,2864.0,2794.0,2852.5,9151500,2687.95,2744.49,2799.04,2799.04,2799.04,50.0,-28.62,-13.47,-15.15,2911.33,2799.04,2686.75,130.6,3056.0,partial
2024-09-10,2869.0,2902.0,2858.0,2861.5,7844100,2696.43,2711.98,2792.2,2792.2,2792.2,38.26,-32.94,-17.36,-15.58,2912.15,2792.2,2672.25,136.56,3056.0,partial
2024-09-11,2811.5,2837.0,2755.0,2780.0,11943600,2619.63,2692.66,2781.42,2781.42,2781.42,29.8,-42.07,-22.3,-19.77,2924.49,2781.42,2638.34,136.85,3056.0,partial
2024-09-12,2830.0,2870.0,2819.0,2848.5,11469500,2684.18,2680.22,2775.7,2775.7,2775.7,41.51,-43.6,-26.56,-17.04,2921.84,2775.7,2629.55,144.96,3056.0,partial
2024-09-13,2840.5,2855.5,2815.5,2834.5,10715700,2670.99,2671.84,2769.88,2769.88,2769.88,40.04,-45.36,-30.32,-15.03,2919.79,2769.88,2619.97,146.84,3056.0,partial
2024-09-17,2829.5,2854.5,2782.0,2824.5,10489200,2661.57,2666.56,2764.18,2764.18,2764.18,38.98,-46.96,-33.65,-13.31,2917.9,2764.18,2610.46,149.46,3056.0,partial
2024-09-18,2874.5,2875.0,2770.5,2802.5,9602200,2640.83,2655.44,2758.01,2758.01,2758.01,36.67,-49.34,-36.79,-12.55,2917.19,2758.01,2598.83,154.03,3056.0,partial
2024-09-19,2851.0,2901.5,2845.0,2883.5,8979500,2717.16,2674.95,2756.07,2756.07,2756.07,48.7,-44.56,-38.34,-6.21,2906.71,2751.67,2596.63,161.64,3056.0,partial
2024-09-20,2959.5,2990.0,2927.5,2952.5,27871800,2782.18,2694.55,2757.25,2757.25,2757.25,56.31,-35.11,-37.7,2.59,2896.98,2748.16,2599.35,169.59,3056.0,partial
2024-09-24,2967.5,3008.0,2951.0,2960.5,10107500,2789.72,2718.29,2758.66,2758.66,2758.66,57.1,-26.71,-35.5,8.79,2895.86,2747.67,2599.48,173.6,3056.0,partial
2024-09-25,2961.0,3006.0,2960.0,2987.5,9075200,2815.16,2749.01,2761.02,2761.02,2761.02,59.76,-17.79,-31.96,14.16,2897.76,2748.4,2599.03,176.65,3056.0,partial
2024-09-26,3010.0,3059.0,2991.5,3059.0,13938200,2882.54,2797.35,2765.88,2765.88,2765.88,65.81,-5.23,-26.61,21.38,2908.44,2751.27,2594.11,181.45,3059.0,partial
2024-09-27,3049.0,3090.0,3009.0,3082.0,12457200,2952.47,2844.41,2770.22,2773.06,2773.06,70.72,10.25,-19.24,29.49,2935.01,2757.55,2580.08,183.31,3090.0,partial
2024-09-30,2940.0,2988.0,2932.0,2952.5,18745500,2828.41,2853.66,2769.26,2775.11,2775.11,55.48,12.37,-12.92,25.29,2934.84,2757.48,2580.13,174.22,3090.0,partial
2024-10-01,2955.0,3042.0,2948.5,3027.0,10277500,2899.78,2875.67,2773.27,2779.56,2779.56,60.73,19.58,-6.42,26.0,2945.26,2760.51,2575.76,177.03,3090.0,partial
2024-10-02,2996.5,3067.0,2995.0,3042.0,9814100,2914.15,2895.47,2777.81,2784.2,2784.2,61.7,26.15,0.1,26.05,2957.07,2763.88,2570.69,176.33,3090.0,partial
2024-10-03,3122.0,3125.0,3045.0,3059.0,9102300,2930.44,2905.05,2782.03,2789.07,2789.07,62.83,32.3,6.54,25.76,2969.96,2767.46,2564.95,178.79,3125.0,partial
2024-10-04,3055.0,3092.0,3037.0,3082.0,9196200,2952.47,2905.05,2787.05,2794.34,2794.34,64.36,38.51,12.93,25.58,2995.54,2779.27,2563.0,177.56,3125.0,partial
2024-10-07,3123.0,3132.0,3047.0,3086.0,10975200,2956.3,2930.63,2792.11,2799.41,2799.41,64.64,43.24,18.99,24.25,3018.64,2789.76,2560.89,177.7,3132.0,partial
2024-10-08,3042.0,3046.0,2982.0,2995.0,9152300,2869.13,2924.5,2793.31,2801.52,2801.52,54.43,39.5,23.09,16.41,3026.09,2797.57,2569.06,171.42,3132.0,partial
2024-10-09,3030.0,3039.0,2936.0,2945.5,8901500,2821.71,2906.01,2792.31,2802.11,2802.11,49.81,32.34,24.94,7.39,3027.32,2804.26,2581.21,171.31,3132.0,partial
2024-10-10,2988.5,2992.0,2957.5,2964.0,5376400,2839.43,2887.81,2791.53,2803.18,2803.18,51.47,27.77,25.51,2.26,3029.29,2811.41,2593.54,171.23,3132.0,partial
2024-10-11,3000.0,3007.0,2961.5,2961.5,6519700,2837.03,2864.72,2796.36,2804.12,2804.12,51.22,23.68,25.14,-1.46,3021.71,2822.28,2622.85,170.97,3132.0,partial
2024-10-15,2980.0,2983.0,2925.0,2926.0,12887600,2803.03,2834.07,2798.62,2804.09,2804.09,47.74,17.5,23.61,-6.11,3017.67,2828.22,2638.78,169.19,3132.0,partial
2024-10-16,2892.5,2936.0,2868.0,2895.0,8326200,2773.33,2814.91,2801.04,2803.28,2803.28,44.87,10.09,20.91,-10.82,3010.67,2833.34,2656.02,166.6,3132.0,partial
2024-10-17,2903.0,2926.0,2894.0,2895.5,6671700,2773.81,2805.33,2804.48,2802.52,2802.52,44.92,4.2,17.57,-13.37,3000.59,2838.95,2677.32,165.6,3132.0,partial
2024-10-18,2901.0,2905.0,2868.0,2875.0,6765000,2754.17,2788.27,2806.78,2801.32,2801.32,42.94,-2.02,13.65,-15.67,2984.57,2844.62,2704.68,163.15,3132.0,partial
2024-10-21,2868.5,2870.5,2836.5,2840.0,7255900,2720.64,2765.0,2810.83,2799.35,2799.35,39.73,-9.55,9.01,-18.56,2984.11,2844.79,2705.48,159.8,3132.0,partial
2024-10-22,2842.0,2866.0,2804.5,2816.5,6567700,2698.13,2744.02,2811.38,2796.94,2796.94,37.68,-17.14,3.78,-20.92,2991.78,2840.59,2689.41,158.77,3132.0,partial
