date,open,high,low,close,volume,adj_close,ma5,ma25,ma75,ma200,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,atr14
2024-08-14,2910.0,2976.0,2906.0,2924.0,12519200,2738.24,2738.24,2738.24,2738.24,2738.24,50.0,0.0,0.0,0.0,2738.24,2738.24,2738.24,
2024-08-15,2940.5,3109.0,2931.0,3041.0,15341300,2847.81,2793.02,2793.02,2793.02,2793.02,50.0,8.74,1.75,6.99,2902.6,2793.02,2683.45,
2024-08-16,3172.0,3172.0,3098.0,3143.0,12701200,2943.33,2843.13,2843.13,2843.13,2843.13,50.0,23.11,6.02,17.09,3010.71,2843.13,2675.54,
2024-08-19,3131.0,3153.0,3083.0,3090.0,8909500,2893.7,2855.77,2855.77,2855.77,2855.77,50.0,30.14,10.84,19.3,3007.37,2855.77,2704.17,
2024-08-20,3139.0,3139.0,3069.0,3091.0,6517600,2894.63,2863.54,2863.54,2863.54,2863.54,50.0,35.39,15.75,19.63,3002.65,2863.54,2724.43,
2024-08-21,3031.0,3079.0,3025.0,3069.0,4977300,2874.03,2890.7,2865.29,2865.29,2865.29,50.0,37.45,20.09,17.35,2992.52,2865.29,2738.06,
2024-08-22,3050.0,3060.0,3015.0,3034.0,6151800,2841.25,2889.39,2861.86,2861.86,2861.86,50.0,36.02,23.28,12.74,2980.84,2861.86,2742.87,
2024-08-23,3044.0,3075.0,3030.0,3075.0,6304700,2879.65,2876.65,2864.08,2864.08,2864.08,50.0,37.55,26.13,11.42,2976.0,2864.08,2752.16,
2024-08-26,3051.0,3063.0,2979.0,2995.5,8354300,2805.2,2858.95,2857.54,2857.54,2857.54,50.0,32.39,27.38,5.01,2969.36,2857.54,2745.71,
2024-08-27,2999.5,3021.0,2973.5,3004.0,6628600,2813.16,2842.66,2853.1,2853.1,2853.1,50.0,28.61,27.63,0.98,2962.48,2853.1,2743.72,
2024-08-28,2986.0,3023.0,2979.0,3016.0,5508000,2824.4,2832.73,2850.49,2850.49,2850.49,50.0,26.22,27.35,-1.13,2956.08,2850.49,2744.91,
2024-08-29,3020.0,3024.0,2991.0,2997.0,6360700,2806.6,2825.8,2846.83,2846.83,2846.83,50.0,22.63,26.4,-3.78,2950.79,2846.83,2742.87,
2024-08-30,3010.0,3027.0,2985.5,3009.0,11370200,2817.84,2813.44,2844.6,2844.6,2844.6,50.0,20.45,25.21,-4.76,2945.67,2844.6,2743.53,
2024-09-02,3050.0,3068.0,3030.0,3059.0,7323800,2864.67,2825.33,2846.04,2846.04,2846.04,50.0,22.25,24.62,-2.37,2943.98,2846.04,2748.1,167.14
2024-09-03,3090.0,3137.0,3067.0,3137.0,8304100,2937.71,2850.24,2852.15,2852.15,2852.15,87.49,29.23,25.54,3.69,2957.24,2852.15,2747.06,174.66
2024-09-04,3030.0,3039.0,2956.5,2974.0,15209200,2785.06,2842.38,2847.96,2847.96,2847.96,73.99,22.19,24.87,-2.68,2954.77,2847.96,2741.14,169.42
2024-09-05,2924.0,3018.0,2893.5,2962.0,11177300,2773.83,2835.82,2843.59,2843.59,2843.59,73.09,15.52,23.0,-7.48,2952.93,2843.59,2734.26,173.95
2024-09-06,2943.5,2961.0,2897.5,2923.5,9162000,2737.77,2819.81,2837.72,2837.72,2837.72,70.16,7.25,19.85,-12.6,2954.51,2837.72,2720.92,174.9
2024-09-09,2810.0,2850.0,2783.0,2838.5,13495800,2658.17,2778.51,2828.27,2828.27,2828.27,64.06,-5.67,14.75,-20.41,2967.38,2828.27,2689.15,170.42
2024-09-10,2850.0,2898.5,2831.0,2832.0,9415400,2652.09,2721.38,2819.46,2819.46,2819.46,63.6,-16.21,8.56,-24.76,2975.28,2819.46,2663.63,175.42
2024-09-11,2800.0,2811.0,2739.0,2770.0,10822300,2594.02,2683.18,2808.72,2808.72,2808.72,59.27,-28.91,1.06,-29.97,2993.68,2812.25,2630.81,174.24
2024-09-12,2848.0,2855.0,2802.5,2830.5,9583500,2650.68,2658.55,2801.54,2801.54,2801.54,61.99,-34.02,-5.95,-28.06,2996.03,2802.39,2608.74,180.43
2024-09-13,2831.0,2839.5,2805.0,2813.5,9179800,2634.76,2637.94,2794.29,2794.29,2794.29,60.76,-38.9,-12.54,-26.36,2982.39,2786.96,2591.53,181.03
2024-09-17,2826.0,2837.0,2693.0,2746.5,12258700,2572.02,2620.71,2785.03,2785.03,2785.03,56.05,-47.28,-19.49,-27.79,2980.92,2770.88,2560.83,182.55
2024-09-18,2780.0,2783.5,2742.5,2764.5,8009800,2588.87,2608.07,2777.18,2777.18,2777.18,57.01,-51.97,-25.99,-25.99,2971.8,2755.59,2539.38,184.61
2024-09-19,2840.0,2867.5,2824.5,2829.5,9893400,2649.75,2619.22,2773.64,2772.28,2772.28,60.39,-50.2,-30.83,-19.37,2958.1,2744.38,2530.65,191.33
2024-09-20,2929.5,2942.5,2887.0,2890.5,24463700,2706.87,2630.45,2768.0,2769.86,2769.86,63.31,-43.68,-33.4,-10.28,2947.19,2737.66,2528.13,198.57
2024-09-24,2940.5,2948.0,2869.0,2870.0,14347500,2687.67,2641.04,2757.78,2766.92,2766.92,61.67,-39.6,-34.64,-4.96,2928.06,2728.06,2528.05,201.61
